Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
MTX.MU,154.85,2020/09/02,08:01 CEST,-2.149994,154.85,154.85,154.85,1,,,,,,,
HEI.DE,54.1,2020/09/01,17:35 CEST,0.87999725,53.52,54.2,52.92,893231,,,,,,,
MRK.DE,114.85,2020/09/01,17:35 CEST,1.199997,114.65,115.95,114.15,394714,,,,,,,
MUV2.DE,244.0,2020/09/01,17:35 CEST,2.300003,243.4,245.0,240.9,283814,,,,,,,
LHA.DE,8.64,2020/09/01,17:35 CEST,-0.0899992,8.808,8.808,8.388,3664674,,,,,,,
LIN.DE,210.8,2020/09/01,17:35 CEST,-1.0,211.0,212.7,207.5,760370,,,,,,,
IFX.DE,23.5,2020/09/01,17:35 CEST,0.34000015,23.5,23.7,23.045,3743074,,,,,,,
WDI.DE,0.718,2020/09/01,17:36 CEST,0.09799999,0.61,0.78,0.5911,4919714,,,,,,,
VNA.DE,60.88,2020/09/01,17:35 CEST,0.88000107,60.5,61.28,60.22,1317060,,,,,,,
VOW3.DE,140.1,2020/09/01,17:35 CEST,0.58000183,140.8,141.86,137.88,1175523,,,,,,,
SIE.DE,116.86,2020/09/01,17:35 CEST,-1.3600006,116.8,117.74,115.1,1660362,,,,,,,
RWE.DE,32.95,2020/09/01,17:35 CEST,-0.34999847,33.57,33.7,32.95,1714989,,,,,,,
TSKB.IS,1.11,2020/09/01,18:09 EEST,0.01999998,1.09,1.11,1.08,99473694,,,,,,,
IHLGM.IS,1.45,2020/09/01,18:09 EEST,0.03000009,1.43,1.48,1.36,137565943,,,,,,,
VAKBN.IS,4.15,2020/09/01,18:09 EEST,0.07999992,4.07,4.16,4.05,51186209,,,,,,,
THYAO.IS,10.69,2020/09/01,18:09 EEST,0.12999916,10.57,10.73,10.42,40841656,,,,,,,
ENEL.MI,7.504,2020/09/01,17:39 CEST,-0.08500004,7.658,7.723,7.49,17987561,,,,,,,
ENI.MI,7.776,2020/09/01,17:35 CEST,-0.024000168,7.851,7.911,7.65,13313757,,,,,,,
UCG.MI,8.151,2020/09/01,17:36 CEST,-0.09899998,8.31,8.339,8.02,18648076,,,,,,,
0QXR.IL,9.1135,2020/09/01,17:18 BST,-0.37050056,9.319,9.366,8.962,2906808,,,,,,,
FIVE.ME,2622.0,2020/09/01,00:10 MSK,0.0,2706.0,2706.0,2577.0,552114,,,,,,,
MICP-U.TI,93.92,2020/08/31,17:14 CEST,-0.5400009,95.0,95.0,95.0,15,,,,,,,
OREP-U.TI,276.9,2020/08/31,12:40 CEST,0.3999939,278.7,278.7,278.7,5,,,,,,,
ITSA4.SA,9.72,2020/09/01,17:13 BRT,0.31000042,0.0,0.0,0.0,0,,,,,,,
ABEV3.SA,12.65,2020/09/01,17:11 BRT,0.3399992,0.0,0.0,0.0,0,,,,,,,
JBSS3.SA,22.3,2020/09/01,17:10 BRT,-0.1400013,0.0,0.0,0.0,0,,,,,,,
GGBR4.SA,20.0,2020/09/01,17:13 BRT,0.90999985,0.0,0.0,0.0,0,,,,,,,
CIEL3.SA,4.55,2020/09/01,17:10 BRT,-0.009999752,0.0,0.0,0.0,0,,,,,,,
VALE3.SA,61.76,2020/09/01,17:07 BRT,2.079998,0.0,0.0,0.0,0,,,,,,,
ITUB4.SA,24.34,2020/09/01,17:13 BRT,0.8050003,0.0,0.0,0.0,0,,,,,,,
BBDC4.SA,21.16,2020/09/01,17:13 BRT,0.42000008,0.0,0.0,0.0,0,,,,,,,
PETR3.SA,23.36,2020/09/01,17:07 BRT,1.0400009,0.0,0.0,0.0,0,,,,,,,
COGNY,1.07,2020/09/01,15:59 EDT,0.092700064,1.02,1.1,1.02,60681,,,,,,,
VVAR3.SA,20.47,2020/09/01,17:13 BRT,-0.030000687,0.0,0.0,0.0,0,,,,,,,
PBR.BA,1098.0,2020/09/01,16:58 ART,44.5,1080.0,1113.5,1080.0,14279,,,,,,,
BRL=X,5.3759,2020/09/02,07:30 BST,-0.022600174,5.3984,5.3984,5.3759,0,,,,,,,
CEMAS.IS,1.48,2020/09/01,18:09 EEST,-0.01999998,1.51,1.51,1.45,63507979,,,,,,,
PETKM.IS,3.96,2020/09/01,18:09 EEST,0.049999952,3.93,3.99,3.86,186469019,,,,,,,
GARAN.IS,6.89,2020/09/01,18:09 EEST,0.12999964,6.8,6.89,6.7,120866283,,,,,,,
YKBNK.IS,2.06,2020/09/01,18:09 EEST,0.029999971,2.03,2.07,2.01,113130264,,,,,,,
GSRAY.IS,3.17,2020/09/01,18:09 EEST,0.07000017,3.11,3.21,3.08,150240910,,,,,,,
XU100.IS,1085.19,2020/09/01,18:10 EEST,6.579956,1081.66,1086.29,1064.42,0,,,,,,,
TRY=X,7.37293,2020/09/02,07:41 BST,0.009330273,7.36628,7.3753,7.35477,0,,,,,,,
600522.SS,11.77,2020/09/02,14:26 CST,0.030000687,12.14,12.21,11.71,69976527,,,,,,,
600550.SS,5.1,2020/09/02,14:26 CST,-0.07999992,5.18,5.19,5.04,11714140,,,,,,,
600108.SS,3.78,2020/09/02,14:26 CST,0.00999999,3.76,3.9,3.75,39579909,,,,,,,
601872.SS,6.36,2020/09/02,14:26 CST,-0.01999998,6.37,6.41,6.31,35931086,,,,,,,
600988.SS,21.14,2020/09/02,14:26 CST,-0.960001,21.3,21.42,20.8,79214967,,,,,,,
600410.SS,13.29,2020/09/02,14:26 CST,-0.13000011,13.48,13.48,13.15,20981164,,,,,,,
600527.SS,3.1,2020/09/02,14:26 CST,-0.03000021,3.13,3.13,3.07,27780413,,,,,,,
600050.SS,5.14,2020/09/02,14:26 CST,-0.03000021,5.17,5.18,5.11,88249506,,,,,,,
600127.SS,13.98,2020/09/02,14:26 CST,0.049999237,14.1,14.34,13.91,46332723,,,,,,,
601179.SS,4.79,2020/09/02,14:26 CST,-0.03000021,4.83,4.85,4.76,19384156,,,,,,,
XIN9.FGI,15766.79,2020/09/02,07:26 BST,40.38965,15766.79,15851.71,15612.29,0,,,,,,,
CNY=X,6.8285,2020/09/02,07:41 BST,3.9958954E-4,6.8272,6.8365,6.8249,0,,,,,,,
AXISBANK.BO,475.1,2020/09/02,12:11 IST,-10.75,486.0,487.6,473.7,363568,,,,,,,
BAJFINANCE.BO,3622.15,2020/09/02,12:11 IST,-21.600098,3648.65,3668.2,3607.7,45638,,,,,,,
TATASTEEL.BO,431.55,2020/09/02,12:11 IST,2.5499878,429.0,435.65,428.95,246892,,,,,,,
SBIN.BO,213.5,2020/09/02,12:11 IST,-4.600006,218.4,219.0,212.4,822802,,,,,,,
RELIANCE.BO,2133.55,2020/09/02,12:11 IST,46.0,2095.0,2135.0,2085.5,1608684,,,,,,,
LT.BO,952.25,2020/09/02,12:11 IST,-3.0499878,959.35,959.85,948.25,66629,,,,,,,
M&MFIN.BO,135.0,2020/09/02,12:10 IST,0.8500061,134.3,138.2,133.55,411524,,,,,,,
INFY.BO,919.0,2020/09/02,12:11 IST,4.700012,917.9,925.5,915.05,1529474,,,,,,,
HDFCBANK.BO,1130.15,2020/09/02,12:11 IST,2.8000488,1122.05,1134.9,1120.35,144860,,,,,,,
ITC.NS,190.25,2020/09/02,12:11 IST,0.05000305,191.3,193.0,189.65,11665938,,,,,,,
"^BSESN",38898.28,2020/09/02,12:11 IST,-2.5195312,38892.64,39036.76,38736.22,0,,,,,,,
INR=X,73.008,2020/09/02,07:41 BST,0.0060043335,73.002,73.15,72.89,0,,,,,,,
ANTM.JK,840.0,2020/09/02,13:31 WIB,0.0,840.0,850.0,830.0,64197000,,,,,,,
